Designator,Mid X,Mid Y,Rotation,Layer
C1,93.55,-64.4,0.0,top
C10,69.75,-62.95,90.0,bottom
C11,82.75,-63.0,90.0,bottom
C12,100.25,-63.0,90.0,bottom
C13,87.75,-63.05,90.0,bottom
C14,65.4,-55.55,90.0,top
C15,58.4,-73.7,90.0,top
C16,61.1,-77.9,180.0,top
C17,58.4,-82.3,180.0,top
C18,58.6,-84.1,180.0,top
C19,54.575,-85.7,0.0,top
C2,78.5,-52.9,0.0,bottom
C20,54.8,-82.3,0.0,top
C21,61.4,-93.275,90.0,top
C22,63.4,-92.55,90.0,top
C23,61.3,-76.1,180.0,top
C26,65.9625,-102.35,90.0,top
C27,86.7,-97.2,270.0,bottom
C28,102.925,-66.425,0.0,top
C29,59.225,-110.3,0.0,top
C30,58.1,-105.875,90.0,top
C31,92.8,-85.8,0.0,top
C32,72.625,-78.0,180.0,top
C33,77.675,-98.1,180.0,bottom
C34,78.025,-96.2,0.0,top
C35,89.975,-95.7,0.0,top
C36,92.0,-83.4,270.0,top
C37,85.8,-76.0,90.0,top
C38,93.6,-83.4,270.0,top
C39,87.4,-76.0,90.0,top
C4,95.2,-51.7,180.0,top
C40,82.575,-76.8,0.0,top
C41,72.0,-94.195,270.0,top
C42,77.975,-96.2,180.0,bottom
C43,82.6,-75.2,0.0,top
C44,70.2,-94.0,270.0,top
C45,82.4,-81.8,180.0,bottom
C46,55.275,-91.6,0.0,bottom
C47,116.975,-89.0,180.0,bottom
C48,101.25,-77.8,0.0,top
C49,122.475,-81.5,180.0,bottom
C50,117.0,-89.0,180.0,top
C51,82.6,-97.0,180.0,top
C52,85.2,-97.2,270.0,bottom
C53,53.6,-109.375,90.0,bottom
C54,100.7,-97.8,0.0,top
C55,116.75,-108.91,180.0,top
C56,116.725,-108.91,180.0,bottom
C57,122.225,-101.41,180.0,bottom
C58,81.45,-102.3,180.0,top
C59,70.000001,-117.0,90.0,top
C6,93.55,-66.4,0.0,top
C60,70.000001,-116.975,270.0,bottom
C61,77.500001,-122.475,270.0,bottom
C62,110.85,-117.4,180.0,top
C63,88.950001,-117.0,90.0,top
C64,88.950001,-116.975,270.0,bottom
C65,96.450001,-122.475,270.0,bottom
C66,74.45,-68.0,180.0,bottom
C67,92.25,-67.75,180.0,bottom
C69,115.75,-67.5,90.0,bottom
C7,84.9,-66.0,0.0,top
C70,111.75,-67.5,90.0,bottom
C71,88.225,-58.715,180.0,bottom
C72,92.0,-66.0,180.0,bottom
C73,74.225,-66.25,180.0,bottom
C74,72.75,-58.75,0.0,bottom
C75,113.25,-89.75,90.0,top
C76,113.0,-109.66,90.0,top
C77,69.250001,-113.25,0.0,top
C78,88.200001,-113.25,0.0,top
C79,56.9,-73.7,90.0,top
C80,72.2,-80.575,270.0,top
C81,95.3,-92.475,90.0,bottom
C82,114.4,-58.2,180.0,top
C83,54.6,-84.1,0.0,top
C84,58.6,-85.7,180.0,top
C85,113.75,-67.5,90.0,bottom
C86,95.0,-53.0,0.0,bottom
C87,102.925,-64.425,0.0,top
C88,103.525,-51.725,180.0,top
C89,111.1,-53.0,180.0,bottom
C9,111.75,-62.3,90.0,bottom
C91,84.9,-64.0,0.0,top
C92,86.3,-51.7,180.0,top
D1,61.1,-63.7,270.0,top
D10,110.75,-108.810001,90.0,top
D11,113.25,-105.66,90.0,top
D12,72.000001,-112.5,270.0,bottom
D13,69.500001,-112.5,90.0,bottom
D14,70.1,-111.0,0.0,top
D15,73.250001,-113.5,0.0,top
D16,90.950001,-112.5,270.0,bottom
D17,88.450001,-112.5,90.0,bottom
D18,89.05,-111.2,0.0,top
D19,92.200001,-113.5,0.0,top
D2,66.8,-87.9,0.0,top
D20,60.1,-55.2875,270.0,top
D21,54.8,-67.7,270.0,top
D22,57.8,-72.4,0.0,bottom
D23,57.8,-77.0,0.0,bottom
D25,78.4,-66.8,0.0,bottom
D3,66.8,-89.49,0.0,top
D4,112.5,-87.0,180.0,bottom
D5,112.5,-89.5,0.0,bottom
D6,111.0,-88.9,90.0,top
D7,113.5,-85.75,90.0,top
D8,112.25,-106.91,180.0,bottom
D9,112.25,-109.41,0.0,bottom
F1,56.4,-64.8,0.0,top
FB1,90.2375,-97.4,180.0,top
IC1,76.25,-62.5,0.0,bottom
IC2,94.0,-62.5,0.0,bottom
IC3,56.4,-90.7,0.0,top
IC4,61.0,-73.15,270.0,top
IC5,55.5495,-95.105,0.0,bottom
IN1,52.2,-68.57,0.0,top
J1,54.35,-109.45,180.0,top
J3,73.7,-68.825,180.0,top
Q1,107.25,-70.75,180.0,top
Q10,107.35,-109.25,270.0,top
Q11,93.95,-107.25,90.0,top
Q2,107.25,-84.0,180.0,top
Q4,106.999999,-90.660001,180.0,top
Q5,107.0,-103.910001,180.0,top
Q7,88.25,-107.249999,90.0,top
Q8,75.0,-107.25,90.0,top
R1,116.075,-66.0,0.0,top
R10,118.5,-76.925,270.0,top
R11,116.25,-83.0,0.0,top
R12,103.825,-62.625,180.0,top
R13,103.825,-61.025,0.0,top
R14,119.325,-81.5,0.0,bottom
R15,118.75,-83.75,90.0,top
R16,94.9,-62.6,180.0,top
R17,118.8,-86.775,270.0,top
R18,94.9,-61.0,0.0,top
R19,115.5,-86.75,90.0,top
R2,113.5,-63.925,90.0,top
R20,114.75,-89.75,90.0,top
R21,103.5,-90.585001,90.0,top
R22,119.075,-101.41,0.0,bottom
R23,118.5,-103.66,90.0,top
R24,85.9,-62.2,180.0,top
R25,105.499999,-94.585001,270.0,bottom
R26,103.500001,-103.835001,90.0,top
R27,118.5,-106.675,270.0,top
R28,85.9,-60.6,0.0,top
R29,114.5,-109.66,90.0,top
R3,105.75,-74.675,270.0,bottom
R30,115.25,-106.66,90.0,top
R31,82.2,-65.0,90.0,top
R32,118.25,-96.835001,270.0,top
R33,116.0,-102.91,0.0,top
R34,90.9,-65.3875,90.0,top
R35,88.325,-103.75,0.0,top
R36,77.500001,-119.325,90.0,bottom
R37,75.250001,-118.75,0.0,top
R39,84.325,-105.749999,0.0,bottom
R4,103.75,-71.325,90.0,top
R40,74.5,-103.6,0.0,top
R41,72.225,-118.8,180.0,top
R43,69.250001,-114.75,0.0,top
R44,72.250001,-115.5,0.0,top
R46,82.1,-118.8,180.0,top
R47,76.000001,-116.25,270.0,top
R49,105.85,-107.925,270.0,bottom
R5,60.7,-106.7,0.0,top
R50,96.450001,-119.325,90.0,bottom
R51,94.200001,-118.8,0.0,top
R53,101.35,-105.0,270.0,bottom
R54,94.025,-103.750001,0.0,top
R55,91.2,-118.8,180.0,top
R57,88.200001,-114.75,0.0,top
R58,91.200001,-115.5,0.0,top
R6,60.7,-108.2,0.0,top
R60,101.025,-118.5,180.0,top
R61,94.950001,-116.25,270.0,top
R66,60.1,-52.225,90.0,top
R68,57.025,-67.4,0.0,top
R69,59.3,-69.025,270.0,top
R7,66.775,-92.5,0.0,top
R70,61.6,-84.725,270.0,top
R71,51.9,-84.725,270.0,top
R72,55.4375,-100.25375,90.0,bottom
R73,53.8375,-100.25375,270.0,bottom
R74,57.0375,-100.25375,270.0,bottom
R75,104.25,-74.675,270.0,bottom
R76,103.999999,-94.585001,270.0,bottom
R77,84.325,-104.249999,0.0,bottom
R78,99.85,-105.0,270.0,bottom
R8,66.775,-91.0,0.0,top
R9,103.75,-83.925,90.0,top
T1,112.15,-77.45,270.0,top
T2,111.9,-97.36,270.0,top
T3,81.550001,-112.35,180.0,top
T4,100.500001,-112.15,180.0,top
U1,61.925,-101.275,90.0,top
U2,81.875,-86.7,0.0,top
U3,121.365,-86.025,180.0,bottom
U4,121.115,-105.935,180.0,bottom
U5,72.975001,-121.365,270.0,bottom
U6,91.925001,-121.365,270.0,bottom
V_ADJ1,117.2,-62.5,270.0,top
V_ADJ2,103.1,-56.9,270.0,top
V_ADJ3,94.1,-56.875,270.0,top
V_ADJ4,85.1,-56.875,270.0,top
Y1,73.55,-98.625,0.0,top
